country,year,GDP,Unemployment,Interest_Rate,Debt,Working_Age_Pop,Inflation,Current_Account,Global_Oil
Canada,1995,605961090061.207,9.489,8.645833333,77.3126219756355,67.6288199467116,2.14876033057849,-0.835225571288652,36.51207752578947
Canada,1996,630607994132.747,9.62,6.0625,78.0386679289258,67.6834394145598,1.57053112507139,0.385035905172817,45.33193878772347
Canada,1997,654986999855.554,9.1,4.958333333,74.9284095733244,67.7644804870833,1.6212163808453,-1.37185670536611,45.14363585816453
Canada,1998,634000000000.0,8.278,6.604166667,72.4827997563099,67.8830900242086,0.995942456658026,-1.41951307916318,31.36656182286985
Canada,1999,678412196271.118,7.583,6.4375,66.245831750035,68.0529772825533,1.73484295105919,0.124607299622237,42.71588215692125
Canada,2000,744773415931.587,6.829,7.270833333,58.7379742383571,68.2568366113173,2.71943995691976,2.48322832733607,69.41210844837282
Canada,2001,738981792355.372,7.219,5.8125,57.4583564504362,68.4701227930397,2.52512013979906,2.13236979231819,61.764241720543275
Canada,2002,760649334098.005,7.665,4.208333333,54.1491194927984,68.6736734090251,2.25839440940855,1.64503032397306,61.907585382371835
Canada,2003,895540646634.787,7.574,4.6875,51.2713370557453,68.8586776013757,2.75856321360112,1.16498813828327,66.31480412915562
Canada,2004,1026690238278.25,7.185,4.0,46.8009858324025,69.0493454832701,1.85725871857256,2.26315076447856,81.92991415763237
Canada,2005,1173108598778.68,6.758,4.416666667,46.0616514241618,69.2461072880222,2.21355203439768,1.86965618692433,116.54474163654557
Canada,2006,1319264809590.97,6.484,5.8125,43.2916781929928,69.3935234197471,2.00202539534162,1.36365624553912,140.57525119034
Canada,2007,1468820407783.26,6.156,6.104166667,39.1585639491399,69.4575467796062,2.13838399266837,0.752359497275173,148.983609180963
Canada,2008,1552989690721.65,6.284,4.729166667,45.3205112731135,69.4541838737891,2.37027067444298,0.204634001322009,195.274434506963
Canada,2009,1374625142157.29,8.46,2.395833333,53.1924466726998,69.4115083969769,0.299466803009305,-2.96628242314574,127.67050890395004
Canada,2010,1617343367486.26,8.178,2.604166667,53.1497329605545,69.3276453126297,1.77687154092627,-3.59618567149688,166.65201477411526
Canada,2011,1793326630174.52,7.637,3.0,54.1193858391726,69.148336286437,2.91213508872347,-2.77400602599856,211.677798671128
Canada,2012,1828366481521.6,7.392,3.0,55.7251649377054,68.8517946416003,1.51567823124525,-3.53224767688727,220.41245861719725
Canada,2013,1846597421834.98,7.143,3.0,53.200869076551,68.4998731704546,0.938291897815245,-3.14687545091254,220.237747103227
Canada,2014,1805749878439.94,7.023,3.0,51.4827081297932,68.1358280352841,1.90663590717867,-2.31892137730875,203.16687450381
Canada,2015,1556508816217.14,6.945,2.775,55.9915837788793,67.7571212622664,1.12524136094278,-3.51398716666025,116.88467731856996
Canada,2016,1527994741907.43,7.038,2.7,56.0236243991088,67.3902081027321,1.42875954701085,-3.093111446907,99.9999999999997
Canada,2017,1649265644244.09,6.426,2.7,54.4625651849142,67.0699290855306,1.5968841285297,-2.8034274767599,122.7425668981605
Canada,2018,1725329192783.02,5.837,2.3416309673000533,53.1515356456582,66.7853309042324,2.26822567248104,-2.38507161087906,155.565059212108
Canada,2019,1743725183672.52,5.69,2.2144678011562067,53.3623246913959,66.4846890068848,1.94926902411596,-1.9517027481858,142.88757825015574
Canada,2020,1655684730000.19,9.657,2.08730463501236,74.5544073791525,66.1382867429556,0.716999632307807,-2.01049352658992,96.2593228900347
Canada,2021,2022378748423.23,7.527,1.9601414688685135,68.7795713723483,65.7746528539238,3.39519318527533,-0.0219632282728957,156.3461425646965
Canada,2022,2190411080134.32,5.279,1.8329783027246669,59.9440184640855,65.5113452142292,6.80280115341609,-0.288416485092606,231.3828646658915
Canada,2023,2173339670064.33,5.415,1.7058151365808203,62.4731322069255,65.3373373940366,3.87900159788427,-0.633319898544559,194.26053940002424
Canada,2024,2241253230970.34,6.45,1.5786519704369737,64.9693295910634,65.0890886641808,2.38158383281171,-0.461744367419551,191.77688801027324
China,1995,738190896227.55,3.0,12.06,0.0,66.5129477763825,16.7912251650916,0.219237328483813,36.51207752578947
China,1996,868523936530.083,3.12,10.08,0.0,66.8238954729028,8.31316028893908,0.833943624966418,45.33193878772347
China,1997,967753570434.667,3.23,8.64,0.0,67.2604374804175,2.78646505531882,3.81946407941415,45.14363585816453
China,1998,1037134141760.35,3.24,6.39,0.0,67.6620557036552,-0.773186011549315,3.0345158579566,31.36656182286985
China,1999,1103843203575.64,3.25,5.85,0.0,68.0124027928449,-1.40147268276465,1.91286225540032,42.71588215692125
China,2000,1223754919971.05,3.26,5.85,0.0,68.43842782702,0.347811226864583,1.67667411710879,69.41210844837282
China,2001,1355036590251.52,3.8,5.85,0.0,68.9801155359775,0.719125609120118,1.28417196444636,61.764241720543275
